title;name;location;requirements;language_req;sector;salary
Senior Java Developer;TIS Hungary Kft.;Debrecen;JavaAWS CloudRDBMS, NoSQLInfrastructure as codeDocker, OpenAPIMicroservice architecture Serverless?Framework Spring Boot RESTful web services Spring Cloud Junit Mockito?Build tools &Dependency managersGradle MavenBitbucket pipelinesTerraform;Angol középfok;IT Fejlesztés;Bruttó 850e - 1,2M Ft havi bér
Szereldei csoportvezetõ;Manz Hungary Kft;4031 Debrecen, Határ út 1.;Adott területen (mechanikai és/vagy elektromos szerelésben) szerzett tapasztalatFelhasználói szintû számítógépes ismeret (Word, Excel, SAP)Mûszaki rajz önálló értelmezéseNyitottság, céltudatosság, eredmény és minõségorientáltságJó problémamegoldó képesség és szervezõkészségHatározott döntéshozatal, kiváló meggyõzõerõ2 mûszakos munkarend vállalása;Nem igényel nyelvtudást;  Üzleti támogató központok Csoportvezetõ;
Gépjármûvezetõ III. (Debrecen); ;4030 Debrecen, Vámraktár utca 3.;Iskolai végezettség: Befejezett általános iskola (8 osztály)Egyéb képesítés: C kategóriájú gépjármûvezetõi engedélyPÁV III.GKI végzettségDigitális tachográf kezelõi kártyaBejegyzésmentes erkölcsi bizonyítvány;Nem igényel nyelvtudást;Szakmunka;
Biztosítási területi igazgató (16-1681); ;Országosan bárhonnan végezhetõ;Hasonló területen szerzett néhány éves tapasztalat,Életbiztosítási területen szerzett tapasztalat elõny,Felsõfokú végzettség elõny.;Nem igényel nyelvtudást; ;
Regionális értékesítési vezetõ;Pensum Group Nyrt.;Országosan bárhonnan végezhetõ, Egyéb külföld;Szakmai tapasztalat nemzetközi környezetbenMinimum középfokú német nyelvtudás szóban és írásbanKözépfokú angol nyelvtudás szóban és írásbanNémetországban és a környezõ országokban való utazási hajlandóság (legalább 50%).Tárgyalások lebonyolításában való jártasságPrezentációs technikák ismerete;Angol középfok;Értékesítés;
SAP PP Analyst;ZF Hungária Kft.;Home Office;"Degree in (Business) Informatics or related disciplines3+ years of experience in development of SAP PP solutionsKnowledge of SAP PP processes, master data, hands on, customizingKnowledge of PLM processesFlexibility and good team playerGood communication skills & fluent in English, including the virtual team environmentWillingness to travel";Angol felsõfok;IT Fejlesztés;
Full Stack Application Developer;ZF Hungária Kft.;Anywhere nationwide;Bachelor’s Degree in IT or comparable with some years of relevant experienceAbility to collect and elaborate requirements and to implement them with clear acceptance criteria in features and user stories as well as great understanding and passion for digital products and IIoTKnowledge of object-oriented programming language (preferably C#, .NET, Java Script), service and message-oriented SW developmentKnowledge of communication technologies used in the industrial production area Having good communication and negotiation skills in English (written and spoken);Angol felsõfok;IT Fejlesztés;
Microsoft Power Platform Developer;ZF Hungária Kft.;Anywhere nationwide;"Any Graduate or equivalent by experience2+ Years of extensive experience in the Microsoft Power Platform (Power Apps, Power Automate, Power BI, Power Virtual Agent, Dataverse, Azure), Microsoft SharePoint Online & Microsoft 365 in generalExperience in the analysis, design, development, testing and implementation of enterprise scale appsUnderstanding PowerApps formulas and development methodsSociable, independent work, good didactic / teaching skillsNegotiation level English language knowledgeWillingness to trave";Angol felsõfok;IT Fejlesztés;
Senior IT Project Manager;ZF Hungária Kft.;Home Office;IT degree or comparable and minimum 3 years of experience in international IT project managementExperience in projects with scope of implementing corporate IT systemsFamiliar with waterfall and agile project management methodologyIndependent work style, target-oriented, team-capableExcellent English communication and presentation skills to provides project leadership and direction to all stakeholdersKnowledge of corporate Quality IT systems;Angol felsõfok;IT Fejlesztés;
SAP SD Consultant;ZF Hungária Kft.;Home Office;Degree in Computer Science, Software Engineering or Business Administration3 years’ experience in consulting of SAP logistics with focus on outbound logistics (SAP SD and SAP LE)Knowledge of SAP SD customizing, master data and the SAP SD standard processesEnglish language knowledgeGood communication skills, both in an international and virtual team environment;Angol felsõfok;IT Fejlesztés;
Full-Stack Developer;ZF Hungária Kft.;Anywhere nationwide;"Bachelor's degree (Master preferred) in Computer Science, Software Engineering, Informatics (or equivalent)Professional experience in software developmentDeep knowledge in programming languages like Python, JavaScript, SQL, and HTML5Experience with serverside technologies and API architectures such as RESTGood analytical skills with simultaneous comprehensive process understanding as well as structured working methods, personal initiative, organizational and teamwork skillsHighly motivated and open personality, outstanding ability to communicate, personal commitment, organizational skills, flexibility, creativity, teamworkExperience working in agile teams, comfortable working with geographically distributed teams.Excellent verbal and written English language skills";Angol felsõfok;IT Fejlesztés;
Senior Application Developer;ZF Hungária Kft.;Home Office;Bachelor's degree (Master preferred) in Computer Science, Electrical Engineering, Mathematics or Physics (or equivalent) with 3-5 years of professional experience in web developmentVery good knowledge in one of the programming languages: Java, C#, and experienced in JavaScript, knowledge for frameworks like React, Angular  Experienced in using in REST-API, JSON, XML, good database knowledge in SQL, NoSQL is a plusHighly motivated and open personality, outstanding ability to communicate, personal commitment, organizational skills, flexibility, creativity, teamworkExcellent verbal and written English language skills, German is a plus;Angol felsõfok;Mérnök;
SAP MM consultant/analyst - focusing on inbound logistics;ZF Hungária Kft.;Home Office;Degree in Informatics or related disciplines. Experience can be a substitution of degree.1-3 years of experience in SAP process consulting, implementation, and supportAnalysis and troubleshooting skills used to support SAP end users. Knowledge of testing procedures that ensure expected results and at least basic ABAP coding skillStrong interpersonal and communication skills. Provide positive contributions to a team environment with the ability to work independently and handle multiple tasks simultaneouslyCompetency in supplier-related SAP interfaces such IDOCs for supply forecast, ASNs, and consignmentAble to communicate verbally and in written form in English to be able to work in an international teamWillingness and ability to travel worldwide (0-30% per year);Angol felsõfok;IT Fejlesztés;
Készülékkezelõ (K+F kísérleti üzem);Teva;Debrecen;kémiai / vegyipari szaktudás,felhasználói szintû számítástechnikai ismeret;Nem igényel nyelvtudást;Fizikai;Jutalék
Értékesítési mérnök;Pensum Group Nyrt.;Országosan bárhonnan végezhetõ;Felsõfokú gépészmérnöki végzettség vagy megfelelõ gyakornoki tapasztalatTapasztalat a nemzetközi piaconMicrosoft Office programok ismereteMagabiztos angol és/vagy német nyelvtudás szóban és írásban egyaránt;Angol középfok;Értékesítés;
Gondozó;Szent Matróna Görögkatolikus Ápoló-Gondozó Otthon;4032 Debrecen, Nagyerdei krt. 100.;a következõ szakképzettségek valamelyike: szociális gondozó ápoló, gerontológiai gondozó, szociális szakgondozó. Nyelvtudás nem szükséges. Bérezés, juttatások: A Munkatörvény könyve szerinti fizetési és fokozat szerinti illetmények és pótlékok.;Nem igényel nyelvtudást;Szakmunka;
Sales Area Manager;TURQUAGRO Kft.;Anywhere nationwide, Egyéb külföld;"To achieve our goals to expand our activities, we expect our team-mate to:Have experience about ""Agriculture"" and most preferably ""Agricultural Machinery""Fluent Speaker level English to handle conversations in our global market and also in our crewHave capacity to answer instant questions from farmers and find instant solutions to their problems internally.Manage logistics operations of sales activities including transports and exhibitions as well.Planning and guiding the marketing of Agricultural Machinery in Hungary and in Global Market.Frequent travel in the area which covers mainly Hungary and neighbourhood.Have a good co-operation skills both with external and internal partners.Have a ""sales oriented mentality"".";Angol felsõfok;Értékesítés;
Tehergépjármû vezetõ;Lipóti Tóth és Társai Zrt.;Rugalmas munkavégzési hely - Borsod-Abaúj-Zemplén megye, Hajdú-Bihar megye, Heves megye, Jász-Nagykun-Szolnok megye, Nógrád megye;- B, C kategóriás jogosítvány- megbízhatóság, önállóság- pontos, precíz munkavégzés- rugalmasság;Nem igényel nyelvtudást;Szakmunka;Bruttó 200e Ft havi bér
Nemzetközi Gépész Szervizmérnök / Szerviztechnikus (16-1668); ;Országosan bárhonnan végezhetõ;Gépészmérnök VAGY gépésztechnikus végzettség,Angol nyelvtudás,Gépészeti szervizelésében szerzett tapasztalat (elõny: motorok, erõmûvek, illetve kamion- vagy mezõgazdasági gépszerelés területén szerzett tapasztalat),Rendszeres külföldi utazások vállalása.;Angol középfok;Szakmunka;
Segédmunkás;Elektro-Lumen Kft;Rugalmas munkavégzési hely - Hajdú-Bihar megye;Pontos,munkájára odafigyelõ.;Nem igényel nyelvtudást;Fizikai;
Közbeszerzési szakértõ;Debreceni Egyetem, Kancellária, Közbeszerzési és Beszerzési Igazgatóság;4028 Debrecen, Kassai út 26.;"jogi végzettség,MS Office alkalmazások készségszinten történõ kezelése,precizitás, elhivatottság, önálló munkavégzés, proaktivitás, kiváló kommunikációs készség,a munka törvénykönyvérõl szóló 2012. évi I. törvény 44/A. §-ban foglalt feltételeknek való megfelelés (büntetlen elõélet; büntetõeljárás hatálya alatt egyes meghatározott cselekmények elkövetése miatt nem áll; foglalkozástól eltiltás hatálya alatt nem áll; egyéb kizáró ok nem merül fel).";Nem igényel nyelvtudást;Szállítás;
Integrated Logistics Operations Specialist;Kühne + Nagel Kft.;Budapest, Debrecen, Kecskemét, Gyöngyös, Veszprém;Bachelor's Degree in business administration, logistics or related field preferredExperience in forwarding environment is an advantage but fresh graduates are welcome to applyStrong verbal and written communication skills in EnglishAttention to detailAbility to work under pressure and fulfil time-critical tasks Proficient in use of MS Office Package - especially Excel;Angol középfok;Logisztika;
Futár/Sofõr;Profession Services;Országosan bárhonnan végezhetõ;B1 kategóriás jogosítvány (Legalább 1 éves vezetési gyakorlat)rugalmasságpontosságmegbízhatóságszabályok betartása;Nem igényel nyelvtudást;Szakmunka;
Termékmenedzser;POLYDUCT Nyrt.;Püspökladány;legalább középfokú mûszaki végzettségkereskedelmi/értékesítõi üzletágban szerzett legalább 2-3 éves tapasztalatkitûnõ kommunikációs- és kapcsolatteremtõ készségmotivált, energikus személyiségprecíz és megbízható munkavégzés, csapatszellemtársalgási szintû angol nyelvtudásB kategóriás jogosítvány és vezetési gyakorlat, utazási hajlandóság;Angol alapfok;Értékesítés;
Szoftverfejlesztõ;POLIEXT KFT.;Otthonról végezhetõ;?      2+ év tapasztalat a következõ programozási nyelvek tekintetében: JavaScript, TypeScript, Python, Go, C#, VB.NET, Ruby vagy Java?      Keretrendszer/ könyvtár ismeretek: React, React Native, Node.js, Django, Rails, Angular, .NET Core, ASP.NET, NestJS, NextJS vagy bármely más népszerû keretrendszer ismerete?      A front-end és/vagy back-end tervezési minták kiemelkedõ ismerete?      Böngészõk közötti / többplatformos webalkalmazások fejlesztésében szerzett tapasztalat?      Kiváló angol nyelvismeret, szóban és írásban egyaránt;Angol középfok;IT Fejlesztés;
Hr manager; ;Rugalmas munkavégzési hely - Hajdú-Bihar megye;Felsõfokú végzettség Bsc/Msc szintMinimum 3-5 év szakmai tapasztalat toborzás-kiválasztás terén,Minimum 3 év HR csoport vezetési tapasztalatNagy létszámú gyári, ipari szervezetek toborzási igényeinek kielégítésében szerzett tapasztalatotIsmeri a Hajdú-Bihar Megyei munkaerõpiacot, szolgáltatókat, helyi sajátosságokatÖnállóan végzi munkáját, a problémákat nemcsak megtalálja, hanem megoldási javaslatot is adVállalati és/vagy ügynökségi oldalon szerzett tapasztalatotAngol nyelv kiváló ismerete szóban és írásban;Angol felsõfok;HR;
Értékesitõ képviselõ;Nagy Gépkereskedés Kft.;Rugalmas munkavégzési hely - Hajdú-Bihar megye;Minimum középfokú végzettség1-3 éves hasonló területen szerzett tapasztalatKiváló kommunikációs készség írásban és szóban egyarántNyitott, proaktív hozzáállás, jó szervezõ készségMagabiztos számítástechnikai ismeretek (Microsoft Office programok)Képesség az önálló és a csapatban való munkavégzésre egyarántRugalmasság, terhelhetõség, precíz munkavégzésB kategóriás jogosítvány;Nem igényel nyelvtudást;Értékesítés;
Napelem telepítõ;SolarX Energy Solutions Kft.;4031 Debrecen, Vadvirág utca 15.;#NÉV?;Nem igényel nyelvtudást;Fizikai;
Eladó - heti 30 óra részmunkaidõ (Debrecen-Fórum); ;Debrecen;Van eladói/ügyfélkezelési tapasztalatod, vagy fogékony vagy az értékesítés irántSzeretsz a vásárlókkal kommunikálniPozitív és segítõkész a személyiségedSzereted a pörgést, szorgalmasan és felelõsségteljesen látod el munkádatMotivált és terhelhetõ vagyTudsz rugalmas és alkalmazkodó lenni (6-8 órás osztott mûszak, 10-12 órás munka hétvégén)Érdekelnek az aktuális divattrendekA munkába járást hétvégén is, tömegközlekedés nélkül is meg tudod oldani;Nem igényel nyelvtudást;Értékesítés;
Pályázatíró és projektmenedzser;Baptista Tevékeny Szeretet Misszió;Debrecen;Arra számítunk tõled, hogy felsõfokú végzettséggel és néhány év releváns, támogatott projektek menedzsmentjében szerzett tapasztalattal rendelkezel.Új munkatársunknak ismernie kell a hazai és uniós pályázati környezetet, és kész a folyamatos tanulásra.Olyan jelöltet keresünk, aki amellett, hogy önállóan tud dolgozni és vállalja a felelõsséget a munkájáért, szeret és tud is csapatban mûködni és gondolkozni is.Olyan embert, aki képes a határidõket betartani, a problémákat megoldani.Olyan jelentkezõt, aki jól tud kommunikálni, nem fél kimondani azt, amit gondol, töpreng a feladatokon és nem riad vissza a véleményformálástól se.Olyan csapattagot, aki képes komplex folyamatokat átlátni, tervezni és zavarja, hogyha nem precíz, pontos, minõségi munkát ad ki a kezei közül.Olyan személyiséget, aki határozott és céltudatos, de ez nem azt jelenti, hogy nem tud együttmûködni másokkal.Olyasvalakit, aki szereti, hogyha megköszönik és elismerik a munkáját és Õ ugyanezt teszi másokkal.Olyan munkaerõt, aki aktívan használja az EPTK-t, és igazán jól a Word-öt, az Excel-t, és nyitott az online alkalmazások iránt is.;Nem igényel nyelvtudást;Adminisztráció;
Kommunikációs munkatárs;Új Média Kft.;Otthonról végezhetõ;Rendelkezzen saját számítógéppel, internet kapcsolattalJó kommunikációs készség szóban és írásbanSzámlaképesség (vállalkozói jogviszony);Nem igényel nyelvtudást;Értékesítés;
Mérlegképes könyvelõ;A.K.S.D. Kft.;4031 Debrecen, István út 136.;"mérlegképes könyvelõi végzettség;hasonló munkakörben szerzett tapasztalat;felhasználói szintû, magabiztos számítástechnikai ismeretek;ügyviteli rendszerek gyors elsajátítása;megbízhatóság, pontosság, precizitás;";Nem igényel nyelvtudást;Pénzügy;
Csõhálózat szerelõ;SZETT Kft.;Országosan bárhonnan végezhetõ;Szakirányú végzettségB kategóriás jogosítványÖnálló munkavégzésMagasfokú együttmûködési hajlandóságBüntetlen elõélet;Nem igényel nyelvtudást;Szakmunka;
Anyagkezelõ;R.R. Donnelley Magyarország Kft.;4031 Debrecen, Kígyóhagyma utca 7.;Legalább általános iskolai végzettségStressztûrõ képesség, szûk határidõk betartásának képességeÖnállóság, alkalmazkodó- és együttmûködési készségRugalmasság, csapatjátékos hozzáállásPontos, minõségi munkavégzés EGY CSAPAT – KÖZÖS CÉL;Nem igényel nyelvtudást;Fizikai;
Sales intern - Budapest, XIII. kerület (WHC02881) - Diákmunka;WHC Diák Iskolaszövetkezet;Budapest, XIII. kerület;Nappali tagozatos hallgatói jogviszonyFolyamatban lévõ mesterszakos tanulmányok (mûszaki kiemelten preferált) Kapcsolatépítési készségek, folyamatos kommunikáció belsõ és külsõ partnerekkel Magabiztos Microsoft Office ismeretek (elsõsorban Excel) Magabiztos középfokú angol nyelvtudás, szóban és írásban (napi szinten használatos) Online térben történõ kommunikáció magas ismerete Irodai jelenlét (min 3. nap) Munkaidõ: 20-25 óra (de lehet több is);Angol középfok;Szakmunka; 
Gazdasági informatikus;NAGISZ Zrt.;4181 Nádudvar, Fõ út 119.;Fõiskola vagy szakirányú informatikai végzettség Mûködõ ERP és BI rendszerek megismerése és üzemeltetéseSQL ismeretKözépfokú angol nyelvtudás;Angol középfok; ;
Diákmunka - Raktári kisegítõ;MÛISZ Szolgáltató Iskolaszövetkezet;Budapest X. kerület;- Betöltött 18. életév - Jó fizikum és állóképesség - Pontosság, megbízhatóság - B kategóriás jogosítvány elõnyt jelent;Magyar anyanyelvi szint;Szakmunka; 
Global Commodity Manager (Debrecen);thyssenkrupp Components Technology Hungary Kft.;Debrecen;Degree in Engineering or Economics At least 5 years professional experience in in commodity management (global commodity management is preferred) and multinational environment (Automotive is advantage) Technical background would be preferred Confident handling of MS Office products and SAP Excellent knowledge of English language (German is an advantage) Success-oriented, independent thinking Great interpersonal and relationship management skills Leadership skills Intercultural skills (ability to comprehend and adapt to different cultural situations and perspectives) Excellent communication, flexibility, pro-activeness Good organizational and planning skills Team player;Angol felsõfok; ; 
Gépkezelõ (Debrecen);thyssenkrupp Components Technology Hungary Kft.;Debrecen;Középfokú végzettség (gépészeti, ipari) Minimum 1 éves tapasztalat hasonló területen CNC programozási tapasztalat, ipari robotok irányításában szerzett tapasztalat elõny Automatizált rendszerek kezeléséhez szükséges angol nyelvtudás elõny Területtõl függõen 3 mûszakos munkarend (8 órás) vagy 4 mûszakos munkarend (12 órás) vállalása Precíz, pontos, dinamikus munkavégzés Munkájára igényes, együttmûködõ személyiség;Angol alapfok; ; 
Recruitment Specialist;4iG Nyrt.;Otthonról végezhetõ;Felsõfokú végzettség gazdasági vagy humán területenMinimum 3 éves recruitment területen szerzett tapasztalatATS rendszer használatában szerzett ismeretekToborzási mérõszámok ismereteMagabiztos, kommunikációképes angol nyelvtudásStratégiai szemléletKiváló kommunikációs képesség és hatékony vezetõi kapcsolattartásPontos, precíz munkavégzés;Angol középfok;HR; 
Ügyfélkapcsolat támogatás szakértõ;OPUS TITÁSZ Zrt.;Debrecen;Felsõfokú gazdasági/mûszaki végzettségHasonló munkakörben szerzett 3 - 5 év tapasztalatSAP ISU, SAP ERP ismeretekEnergiapiaci folyamatok ismereteWINDOWS és MS Office ismeret;Nem igényel nyelvtudást; ;
Fémipari betanított munkás;Oerlikon Eldim (HU) Kft.;4031 Debrecen, Határ út 1/c.; ;Nem igényel nyelvtudást; ;
Területi képviselõ / Értékesítõ;GarAgent-AH Kft.;Rugalmas munkavégzési hely - Budapest, Bács-Kiskun megye, Békés megye, Borsod-Abaúj-Zemplén megye, Csongrád-Csanád megye, Hajdú-Bihar megye, Heves megye, Jász-Nagykun-Szolnok megye, Nógrád megye, Pest megye, Szabolcs-Szatmár-Bereg megye;"Az ideális Jelölt :Legalább középfokú végzettséggel rendelkezik;Jó a probléma megoldó képessége;Jó kommunikációja és jó kapcsolatteremtõ képességgel rendelkezik;Tud és szeret vezetni.Szereti a szakmai kihívásokat;Vannak céljai és kész dolgozni azok megvalósításán;Szeretne fejlõdni és új dolgokat tanulni;Képes mind önállóan, mind csapatban hatékonyan dolgozni;";Nem igényel nyelvtudást;Értékesítés;
Medior/senior JAVA fejlesztõ;Syscode Kft.;Országosan bárhonnan végezhetõ;"Egyedi szoftverfejlesztõi belsõ csapatunk építéséhez/bõvítéséhez keresünk téged, amennyiben rendelkezel az alábbiakkal:2-5 év Java fejlesztõi tapasztalatback-end keretrendszer ismeret (Java, Spring, Springboot)konténerizációs technológiák ismereteszoftverforráskód- és verziókezelõ rendszer tapasztalat (Git)szoftver tesztelés módszertani és IT biztonsági ismeretekmagabiztos angol nyelvtudás szóban és írásbannyitottság a csapatmunkára, kommunikációra""can do"" mentalitásfejlõdési vágy";Angol középfok;IT Fejlesztés;
Szakorvos látogató;Servier Hungária Kft.;Rugalmas munkavégzési hely - Hajdú-Bihar megye, Szabolcs-Szatmár-Bereg megye;Rendelkezik orvos / gyógyszerész vagy egészségügyi felsõfokú végzettséggel és 3-5 év orvoslátogatói tapasztalattal. Releváns terápiás területen szerzett tapasztalat elõny.Energikus, fejlõdni vágyó motivált személyiség, csapatjátékos;Nem igényel nyelvtudást;Egészségügy;
Italian IT Service Desk Agent – Home Working; ;Anywhere nationwide;IT Service Desk experienceGood technical troubleshooting skillsFluent EnglishFluent ItalianExcellent customer service skillsExcellent communication skills (both written and oral), with the ability to communicate professionally and confidently at all levelsExperience of using tickets logging systemsStrong knowledge of Microsoft based operating systems and peripherals - such as desktop and network printers/copiers. Good understanding of PC hardware set-up and configuration.;Angol középfok;IT Üzemeltetés;
Értékesítõ Mérnök - szaktanácsadó;QLM Logistics Solutions Kft.;2045 TÖRÖKBÁLINT, TÓ PARK utca 3.;felsõfokú végzettség (mûszaki, logisztikai, építõipari terület), erõs mûszaki fogékonyságmin. 3 éves szakmai tapasztalat B2B értékesítés területén erõs értékesítési kompetenciák, a B2B értékesítési technikák ismereterendszerszintû, megoldásfókuszú gondolkodásmódelhivatottság, tudatosság az értékesítésben, erõs értékesítõi szemléletgyors tanulási képességangol nyelv középfokú ismerete (tréningek, szakmai anyagok szintjén)csapatjátékos, pozitív attitûdB kategóriás vezetõi engedélyKözép magyarországi lakhely elõny;Angol középfok;Értékesítés;
Régió menedzser; ;Országosan bárhonnan végezhetõ;A magyar nyelv folyékony beszéd-írás szintû ismerete - elengedhetetlen feltételAz angol nyelv társalgási szintû ismerete - elengedhetetlen feltételTervezésben vagy mûszaki tanácsadásban szerzett tapasztalat az alumíniumrendszerek piacán - elõfeltételAz alumíniumrendszerek piacán hasonló munkakörben szerzett tapasztalat elõnyt jelentü.Az alábbi programok használatával kapcsolatos tapasztalatCAD - elengedhetetlen feltételFelsõfokú mûszaki végzettségGyakori szolgálati utakkal kapcsolatos rendelkezésre állásB kategóriájú jogosítványKimagasló kommunikációs és tárgyaló képességekÜzleti kapcsolatok kiépítésének és megtartásának képességeElemzõi gondolkodás képessége, önállóság, kezdeményezõ készség, kreativitás;Angol alapfok;Értékesítés;
Mérnök-értékesítõ; ;Rugalmas munkavégzési hely - Budapest, Békés megye, Borsod-Abaúj-Zemplén megye, Csongrád-Csanád megye, Hajdú-Bihar megye, Heves megye, Jász-Nagykun-Szolnok megye, Nógrád megye, Szabolcs-Szatmár-Bereg megye;Mûszaki felsõfokú végzettséggelEnergetikai rendszerek értékesítésében szerzett legalább 3 év szakmai tapasztalattalAktív ügyfélkapcsolati rendszerrel nagyvállalati szegmensben az adott földrajzi területenÜgyfélmenedzsmentben való jártassággal és ügyfélorientált szemléletmóddalKiváló kommunikációs és tárgyalási készséggelProfitorientált, üzleti szemlélettelIrodai alkalmazások felhasználói szintû ismeretével (Word, Excel, Outlook, PowerPoint, stb.)Problémamegoldó képességgel és csapatmunkában való részvételi képességgelAktív középfokú angol nyelvtudássalMagabiztos, határozott fellépéssel, üzleti megjelenésselMotivált, lelkes, dinamikus, pontos, gyors, önálló munkavégzés jellemezElsõsorban budapesti vagy kelet-magyarországi lakhellyelB kategóriás jogosítvánnyal;Angol középfok; ;
Szerviztechnikus;STORKER Kft.;4031 Debrecen;Legalább középfokú mûszaki végzettség (szakmunkás vagy technikus).Legalább alap szintû angol nyelvtudás (a külföldi szervizközpontokkal történõ esetleges kapcsolattartás céljából).B kategóriás jogosítvány.Utazási hajlandóság az ország egész területén.Precíz, megbízható, önálló munkavégzés.;Angol középfok;Szakmunka;Bruttó 400e Ft havi bér
Könyvelõ;TMF Magyarország Kft;Országosan bárhonnan végezhetõ;Felsõfokú szakmai végzettségMinimum 2-3 éves szakmai tapasztalatSzámítástechnikai ismeretekÜgyfélközpontúságElhivatottságCsapatszellem, jó csapatjátékos.;Nem igényel nyelvtudást;Pénzügy;
Asszisztens;MYSTERY VISIT Piackutató és Tanácsadó Kft.;4027 Debrecen;középfokú végzettség,erõs felhasználói szintû számítógépes ismeretek (Word és Excel magas szintû ismerete),jó szervezõ- és irányító készség,rugalmasság, kitartás, csapatmunkára való nyitottság,megbízhatóság, precizitás, pontosság,gyors tanulási készség, jó problémamegoldó képesség,alapfokú angol nyelvtudás.;Angol alapfok;Adminisztráció;
Napelem nagyker értékesítõ;Manitu Solar Kft;Rugalmas munkavégzési hely - Borsod-Abaúj-Zemplén megye, Hajdú-Bihar megye, Heves megye, Szabolcs-Szatmár-Bereg megye;Határozott és asszertív fellépés, jó stressztûrõ képesség, megoldáskeresõ attitûd.Az értékesítés szeretete, ügyfélközpontú gondolkodásmód.Megbízhatóság mindenekelõtt.        Értékesítésben szerzett minimum 1-3 éves tapasztalat.Angol kommunikációs szint írásban és szóban egyaránt.Jó kommunikációs képesség.B kategóriás jogosítvány, vezetési tapasztalat.Nagy fokú mobilitás.Képesség az önálló munkavégzésre.;Angol középfok;Értékesítés;
Coach;NIKE Retail Fióktelepe;4090 Polgár, Hajdú utca 52.;"• Three years of retail and/or consumer service experience• One year of leadership experience• Demonstrated ability to recruit, build and lead high-performing teams• Enthusiasm for engaging with consumers and inspiring them to become Nike Members• Digital literacy—desire to learn and adapt to technology needs with agility• Flexibility and willingness to work a combination of mornings, evenings, weekends, and holidays based on the needs of the business• Physical requirements include the ability to twist, bend, squat, reach, climb a ladder, and stand for extended periods of time with or without reasonable accommodation.• Ability to communicate in English• High school diploma or GED preferred; completion of post-secondary education will be considered a plus";Angol felsõfok;Oktatás;Bruttó 400e - 500e Ft havi bér
Programozó;Deep Data Kft.;Országosan bárhonnan végezhetõ;Egy Nuxt.js projekt továbbfejlesztéséhez keresünk frontend vagy fullstack fejlesztõt, Vue.js tapasztalattal. OpenLayers, illetve backend (Node.js, MySQL) tapasztalat szinten elõny.;Angol középfok;IT Fejlesztés;Bruttó 500e - 750e Ft havi bér
Operations Service Coordinator; ;Anywhere nationwide;Previous working experience in customer facing roleAdvanced Excel knowledgeCustomer oriented mindset and can-do attitudeGood analytical, communication, presentation, and problem solving skillsProfessional and positive approachFluent English;Angol felsõfok;Értékesítés;
Ivóvíztechnológiai fõmunkatárs; ;Szolnok, Debrecen;"Szakirányú felsõfokú végzettségNagyvállalati tapasztalatHatékony kommunikáció, jó tárgyalókészségÖnállóság, rendszerszemlélet, proaktivitásPrecizitás, felelõsségteljes és minõségi munkavégzésFelhasználói szintû MS Office ismeret""B” kategóriás jogosítvány";Nem igényel nyelvtudást;Pénzügy; 
Karbantartó technikus;Sensirion Hungary Kft.;4031 Debrecen;"Elektronikai vagy mechatronikai közép- vagy felsõfokú végzettségSzakmai tapasztalat termelõ berendezések mûszaki üzemeltetési karbantartásában; lehetõleg a félvezetõiparbanErõs pneumatikai, elektronikai és mechanikai ismeretekMS Office jártasságJó szervezési készség és problémamegoldó képesség";Nem igényel nyelvtudást;Szakmunka;Bruttó 450e - 750e Ft havi bér
English and Czech speaking customer service; ;Anywhere nationwide;2+ years in a contact centre or reservations office environment. Airline or travel industry is nice to have.PC based skills to operate Windows package including Microsoft Word/ Excel/ E-mail.Fluent English is requiredFluent in one of the following languages: German, Italian, Polish or Czech.;Angol középfok;Ügyfélszolgálat;
English and Polish speaking customer service; ;Anywhere nationwide;2+ years in a contact centre or reservations office environment. Airline or travel industry is nice to have.PC based skills to operate Windows package including Microsoft Word/ Excel/ E-mail.Fluent English is requiredFluent in one of the following languages: German, Italian, Polish or Czech.;Angol középfok;Ügyfélszolgálat;
Irodai asszisztens;AGROPOINT KFt.;4026 Debrecen;Pénzügy számviteli középfokú végzettségAgrár vénaSzámítástechnikai ismeretek: Word, Excel magas szintû ismereteRugalmasságTanulékonyságDinamikusságJó kommunikációs készség;Nem igényel nyelvtudást;Adminisztráció;Bruttó 300e - 370e Ft havi bér
English and Italian speaking customer service; ;Anywhere nationwide;2+ years in a contact centre or reservations office environment. Airline or travel industry is nice to have.PC based skills to operate Windows package including Microsoft Word/ Excel/ E-mail.Fluent English is requiredFluent in one of the following languages: German, Italian, Polish or Czech.;Angol középfok;Ügyfélszolgálat;
Diákmunka - Web Content Manager (Webes tartalomkezelõ);MÛISZ Szolgáltató Iskolaszövetkezet;Debrecen;• Nappali tagozatos aktív vagy passzív jogviszony• Legalább 18 éves kor• Heti minimum 20 óra munkavállalás• Alap-középfokú angol nyelvtudás • Precíz, pontos munkavégzés, önellenõrzés• Jó kommunikációs készség, proaktivitás• Stressz és monotonitás tûrõ képesség• Nyitottságot az új feladatok iránt• Csapatjátékos hozzáállás;Angol középfok;Marketing; 
English and German speaking customer service; ;Anywhere nationwide;2+ years in a contact centre or reservations office environment. Airline or travel industry is nice to have.PC based skills to operate Windows package including Microsoft Word/ Excel/ E-mail.Fluent English is requiredFluent in one of the following languages: German, Italian, Polish or Czech.;Angol középfok;Ügyfélszolgálat;
